platform,emulator_name,supported_os,homepage,winget_id,homebrew_formula,flatpak_id,retroarch_core,save_directory,save_extensions,notes
Nintendo 64,RMG,Windows;Linux,https://github.com/Rosalie241/RMG,,,com.github.Rosalie241.RMG,,~/.local/share/RMG/Save/Game,.eep;.sra;.fla;.mpk,Mupen64Plus frontend; superior to simple64 with GLideN64 plugin
Nintendo 64,Mupen64Plus-Next,Windows;Linux;macOS;FreeBSD,,,,mupen64plus_next,~/.config/retroarch/saves,.srm;.eep;.sra;.fla;.mpk,RetroArch core; more compatible than ParaLLEl-N64; combines multiple save types into single .srm file,
Nintendo 64DD,ares,Windows;Linux;macOS,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/saves,.eeprom;.flash;.pak;.sram,Most accurate 64DD emulation; supports disc-swapping as of v134
Nintendo 64DD,Mupen64Plus-Next (RetroArch),Windows;Linux;macOS;Android;iOS,https://www.retroarch.com/,Libretro.RetroArch,retroarch,org.libretro.RetroArch,mupen64plus_next,~/.config/retroarch/saves/Mupen64Plus-Next,.srm,Requires IPL.n64 BIOS in system folder; use subsystems menu for 64DD
Nintendo 64DD,RMG,Windows;Linux,https://github.com/Rosalie241/RMG,,,com.github.Rosalie241.RMG,,~/.local/share/RMG/Save/Game,.eep;.sra;.fla;.mpk,Mupen64Plus frontend with Project64-style interface for 64DD games
Nintendo DS,melonDS,Windows;Linux;macOS;FreeBSD,https://melonds.kuribo64.net/,melonDS.melonDS,melonds,net.kuribo64.melonDS,,~/.config/melonDS,.sav,Standalone DS/DSi emulator with OpenGL renderer and upscaling support
Nintendo DS,melonDS DS,Windows;Linux;macOS;Android;iOS,https://github.com/JesseTG/melonds-ds,,,,,melonds_ds,~/.config/retroarch/saves,.srm
Nintendo DS,DeSmuME,Windows;Linux;macOS,https://desmume.org/,DeSmuMETeam.DeSmuME,desmume,org.desmume.DeSmuME,desmume,~/.config/desmume,.dsv,Mature emulator with TAS tools and GDB debugging support
Nintendo DS,BizHawk,Windows;Linux,https://github.com/TASEmulators/BizHawk,,,,,~/.config/BizHawk/NDS/SaveRAM,.SaveRAM,Multi-system emulator for TAS; uses melonDS core internally; limited macOS support
Nintendo - e-Reader,mGBA,Windows;Linux;macOS;FreeBSD,https://mgba.io/,JeffreyPfau.mGBA,mgba,io.mgba.mGBA,mgba,same directory as ROM,.sav;.ss0;.ss1,Full e-Reader hardware emulation with link functionality; best emulator for e-Reader support; requires matching BIOS region
Nintendo - e-Reader,No$GBA,Windows,https://www.nogba.com/,,,,,[No$GBA directory]/Battery,.sav,Full e-Reader standalone emulation only; Windows-only; no link functionality
Nintendo - e-Reader,VBA-M,Windows;Linux;macOS,https://visualboyadvance-m.org/,VisualBoyAdvance-M.VisualBoyAdvance-M,visualboyadvance-m,com.vba_m.visualboyadvance-m,vbam,same directory as ROM,.sav;.sgm,Partial e-Reader support in standalone; incomplete support for all e-Reader connectivity modes
Nintendo Entertainment System,Mesen,Windows;Linux;macOS,https://www.mesen.ca/,SourMesen.Mesen2,,ca.mesen.Mesen2,mesen,~/Documents/Mesen/Saves,.sav;.srm,Most accurate NES emulator; multi-system emulator also supporting SNES/GB/GBA/PCE/SMS/WS; Flatpak is unofficial
Nintendo Entertainment System,Nestopia UE,Windows;Linux;macOS;FreeBSD,http://0ldsk00l.ca/nestopia/,,nestopia-ue,ca._0ldsk00l.Nestopia,nestopia,<same as ROM directory>,.sav,Cycle-accurate; fork of original Nestopia; .sav files stored alongside ROMs by default
Nintendo Entertainment System,puNES,Windows;Linux;FreeBSD,https://github.com/punesemu/puNES,,,io.github.punesemu.puNES,,~/.local/share/puNES/save,.sav,Second most accurate NES emulator; Qt-based UI; no RetroArch core available
Nintendo Entertainment System,FCEUX,Windows;Linux;macOS;FreeBSD,https://fceux.com/,FCEUX.FCEUX,fceux,,fceumm,~/.fceux/sav,.sav,Feature-rich with Lua scripting and debugging tools; RetroArch core is FCEUmm (modified fork)
Nintendo Entertainment System,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/Emulation/ares/Saves,.sav,Cycle-accurate multi-system emulator; NES core on par with Mesen; save path configurable in Settings > Paths; no RetroArch core
Nintendo Entertainment System,NES.emu,Android,https://github.com/Rakashazi/emu-ex-plus-alpha,,,,,/storage/emulated/0/Android/data/com.explusalpha.NesEmu/files,.sav,Android-only; based on FCEUX; configurable save path via Options > System > Save Path
Nintendo Famicom Disk System,Mesen,Windows;Linux;macOS,https://www.mesen.ca/,SourMesen.Mesen2,,,mesen,~/Documents/Mesen/Saves,.sav;.srm,Cycle-accurate multi-system emulator; most compatible NES/FDS emulator
Nintendo Famicom Disk System,Nestopia UE,Windows;Linux;macOS;FreeBSD,http://0ldsk00l.ca/nestopia/,,homebrew/cask/nestopia-ue,ca._0ldsk00l.Nestopia,nestopia,Same directory as ROMs,.sav,Cycle-accurate; saves written on quit
Nintendo Famicom Disk System,FCEUX,Windows;Linux;macOS;FreeBSD,https://fceux.com/,FCEUX.FCEUX,fceux,,,~/.fceux/sav,.sav;.fcs,Highly-accurate; excellent debugging tools; .fcs for savestates
Nintendo Famicom Disk System,puNES,Windows;Linux;FreeBSD,https://github.com/punesemu/puNES,,,io.github.punesemu.puNES,,$XDG_DATA_HOME/puNES,.sav,Second most accurate NES/FDS emulator; 98.08% accuracy
Nintendo Famicom Disk System,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,,,dev.ares.ares,,User-configurable saves path,.sav;.eeprom;.flash;.ram,Multi-system emulator; cycle-accurate NES core
Nintendo Game Boy,SameBoy,Windows;Linux;macOS;FreeBSD;Android;iOS,https://sameboy.github.io/,,sameboy,io.github.sameboy.SameBoy,sameboy,ROM directory,.sav;.srm;.rtc,Most accurate GB/GBC emulator; Game Boy Camera and Printer support; debugging features
Nintendo Game Boy,BGB,Windows,http://bgb.bircd.org/,,,,,ROM directory,.sav,Highly accurate; excellent link cable support; advanced debugger; runs on Linux/macOS via Wine
Nintendo Game Boy,Emulicious,Windows;Linux;macOS;FreeBSD,https://emulicious.net/,,,,,ROM directory or sav folder,.sav,Java-based cross-platform emulator; debugging features; also emulates Game Gear and Master System
Nintendo Game Boy,Gambatte,Windows;Linux;macOS,https://github.com/libretro/gambatte-libretro,,,,gambatte,~/.config/gambatte/saves (standalone) or RetroArch saves directory,.sav;.srm;.gqs,Accuracy-focused; upstream development stopped but libretro core maintained
Nintendo Game Boy Advance,mGBA,Windows;Linux;macOS;FreeBSD,https://mgba.io/,JeffreyPfau.mGBA,mgba-app,io.mgba.mGBA,mgba,Same directory as ROM,.sav;.ss0,Most complete GBA emulator; also supports GB/GBC; MPL 2.0 license
Nintendo Game Boy Advance,NanoBoyAdvance,Windows;Linux;macOS,https://github.com/nba-emu/NanoBoyAdvance,,,,,Same directory as ROM,.sav,Cycle-accurate; passed all AGS aging cartridge tests; GPL 3.0 license; unofficial libretro port exists (nba_libretro)
Nintendo Game Boy Advance,SkyEmu,Windows;Linux;macOS;Android;iOS,https://github.com/skylersaleh/SkyEmu,,,,skyemu,Same directory as ROM,.sav,Also supports GB/GBC/NDS; MIT license; has web app version at web.skyemu.app
Nintendo Game Boy Color,SameBoy,Windows;Linux;macOS;FreeBSD;Android;iOS,https://sameboy.github.io/,,sameboy,io.github.sameboy.SameBoy,sameboy,ROM directory,.sav;.srm;.rtc,Most accurate GB/GBC emulator; Game Boy Camera and Printer support; debugging features
Nintendo Game Boy Color,BGB,Windows,http://bgb.bircd.org/,,,,,ROM directory,.sav,Highly accurate; excellent link cable support; advanced debugger; runs on Linux/macOS via Wine
Nintendo Game Boy Color,Emulicious,Windows;Linux;macOS;FreeBSD,https://emulicious.net/,,,,,ROM directory,.sav,Java-based cross-platform emulator; debugging features; also emulates Game Gear and Master System
Nintendo Game Boy Color,Gambatte,Windows;Linux;macOS,https://github.com/libretro/gambatte-libretro,,,,gambatte,~/.config/gambatte/saves (standalone) or RetroArch saves directory,.sav;.srm;.gqs,Accuracy-focused; upstream development stopped but libretro core maintained
Nintendo Game & Watch,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,First emulator to support Game & Watch with high accuracy using SVG graphics for LCD display
Nintendo Game & Watch,GW (MADrigal's Simulators),Windows;Linux;macOS;Android;iOS,https://www.madrigaldesign.it/sim/,,,gw,,,.mgw,Simulators rather than true emulators; RetroArch core only; games downloadable from RetroArch Content Downloader
Nintendo GameCube,Dolphin,Windows;Linux;macOS;FreeBSD;Android;iOS,https://dolphin-emu.org/,DolphinEmulator.Dolphin,dolphin,org.DolphinEmu.dolphin-emu,dolphin,~/.local/share/dolphin-emu/GC,.gci;.raw,Primary recommended emulator with 97% compatibility; also emulates Wii
Nintendo - New Nintendo 3DS,Azahar,Windows;Linux;macOS;Android,https://azahar-emu.org/,AzaharEmu.Azahar,,org.azahar_emu.Azahar,citra_libretro,~/.local/share/azahar/sdmc/Nintendo 3DS,main;.cst,Primary recommended Citra fork. Merger of PabloMK7's Citra fork and Lime3DS. 63% game compatibility. Saves stored as 'main' file (no extension) in NAND structure; savestates use .cst extension.
Nintendo - New Nintendo 3DS,Panda3DS,Windows;Linux;macOS;Android,https://panda3ds.com/,,,,,~/.local/share/Panda3DS,main,HLE-based emulator. 40% compatibility. iOS port in development. Active development with Lua scripting support.
Nintendo - New Nintendo 3DS (Digital),Azahar,Windows;Linux;macOS;Android,https://azahar-emu.org/,AzaharEmu.Azahar,,org.azahar_emu.Azahar,,~/.local/share/azahar-emu/sdmc/Nintendo 3DS,.bin;main,Recommended Citra fork; merger of PabloMK7's Citra fork and Lime3DS; New 3DS support
Nintendo - New Nintendo 3DS (Digital),Panda3DS,Windows;Linux;macOS;Android,https://panda3ds.com/,,,,,~/.local/share/Panda3DS,.sav,HLE 3DS emulator; experimental libretro core available; New 3DS support partial
Nintendo - Nintendo 3DS (Digital),Azahar,Windows;Linux;macOS;Android,https://azahar-emu.org/,,,org.azahar_emu.Azahar,,~/.local/share/azahar-emu/sdmc/Nintendo 3DS,main,Active Citra fork; merger of PabloMK7 Citra and Lime3DS; recommended over discontinued Citra
Nintendo - Nintendo 3DS (Digital),Panda3DS,Windows;Linux;macOS;Android,https://panda3ds.com/,,,,panda3ds,~/.local/share/Panda3DS/sdmc/Nintendo 3DS,main,HLE emulator; experimental libretro core available
Nintendo - Nintendo 3DS (Digital),Tanuki3DS,Windows;Linux;macOS,https://tanuki3ds.com/,,,,,~/.local/share/Tanuki3DS,main,Written in C; not based on Citra; experimental libretro core in development
Nintendo - Nintendo DS (Download Play),melonDS,Windows;Linux;macOS;FreeBSD,https://melonds.kuribo64.net/,melonDS.melonDS,melonds,net.kuribo64.melonDS,melonDS DS,~/.config/melonDS,.sav,Download Play support is hit-or-miss; unlocking framerate helps. Only emulator with Download Play support.
Nintendo - Nintendo DSi,melonDS,Windows;Linux;macOS;Android;iOS,https://melonds.kuribo64.net/,melonDS.melonDS,melonds,net.kuribo64.melonDS,melonDS DS,~/.config/melonDS,.sav,Recommended; DSi support with DSiWare; JIT recompiler; OpenGL renderer with 3D upscaling; Wi-Fi multiplayer support
Nintendo - Nintendo DSi,No$GBA,Windows;MS-DOS,https://problemkaputt.de/gba.htm,,,,,Battery folder in No$GBA directory,.sav,Partial recommendation; DSi-exclusive game support but compatibility is iffy; camera not functional; useful when other emulators fail specific titles
Nintendo Pokemon Mini,GBE+,Windows;Linux,https://github.com/shonumi/gbe-plus,,,com.github.shonumi.gbe-plus,,./,.sav,Only emulator with IR link support; 100% commercial game compatibility; Windows binaries official - Linux via Flatpak or source
Nintendo Pokemon Mini,PokeMini,Windows;Linux,https://sourceforge.net/projects/pokemini/,,,,pokemini,./,.eep,100% commercial game compatibility; includes FreeBIOS fallback; uses EEPROM saves; default shared save is pokemini.eep in emulator directory
Nintendo Satellaview,ares,Windows;Linux;macOS,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Saves,.sav,Cycle-accurate multi-system emulator with full Satellaview support
Nintendo Satellaview,bsnes,Windows;Linux;macOS;FreeBSD,https://github.com/bsnes-emu/bsnes,,,dev.bsnes.bsnes,bsnes,~/.bsnes,.srm,Highly accurate SNES emulator with full Satellaview support; recommended for BS-X and Data Pack emulation
Nintendo Satellaview,Snes9x,Windows;Linux;macOS;FreeBSD,https://www.snes9x.com/,,snes9x,com.snes9x.Snes9x,snes9x,~/.snes9x/sram,.srm;.rtc,Popular SNES emulator; requires BS-X.bin BIOS in BIOS folder; load Satellaview Memory Pack dumps via Load Game
Nintendo Satellaview,Mesen,Windows;Linux;macOS,https://www.mesen.ca/,SourMesen.Mesen2,,ca.mesen.Mesen2,mesen-s,~/Documents/Mesen/Saves,.sav;.srm,Multi-system emulator with cycle-accurate SNES emulation including Satellaview
Nintendo - Sufami Turbo,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares,.srm;.ram,Recommended; multi-system emulator focusing on accuracy and preservation
Nintendo - Sufami Turbo,bsnes,Windows;Linux;macOS;FreeBSD,https://bsnes.org,,,,bsnes,~/.bsnes,.srm,Recommended; cycle-accurate SNES emulator with 100% compatibility
Nintendo - Sufami Turbo,Snes9x,Windows;Linux;macOS;FreeBSD,https://www.snes9x.com,,snes9x,com.snes9x.Snes9x,snes9x,./Saves,.srm,Highly accurate SNES emulator; not marked as recommended for Sufami Turbo but has support
Nintendo Switch,Ryubing (Ryujinx fork),Windows;Linux;macOS;Android;iOS,https://ryubing.com/,,,,io.github.ryubing.Ryujinx,~/.config/Ryujinx/bis/user/save,,Active community fork of Ryujinx after original project ceased October 2024
Nintendo Switch,Torzu (yuzu fork),Windows;Linux;Android,https://github.com/litucks/torzu,,,onion.torzu_emu.torzu,,~/.local/share/yuzu/nand/user/save,,Active yuzu fork focused on long-term maintenance; Flatpak not on Flathub (manual install from GitHub)
Nintendo Switch,Eden,Windows;Linux;macOS;Android,https://eden-emulator.github.io/,,,,,~/.local/share/yuzu/nand/user/save,,Active yuzu fork in pre-alpha; distributed via AppImage and .deb for Linux
Nintendo Switch 2,,,,,,,,,,No recommended emulators found. Pound and oboromi are early proof-of-concept projects that cannot run commercial games.
Nintendo Virtual Boy,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,mednafen,com.github.AmatCoder.mednaffe,beetle_vb,~/.mednafen/sav,.sav;.mcr,100% compatibility with commercial games; supports anaglyph 3D color output; Flatpak installs via Mednaffe frontend
Nintendo Virtual Boy,RetroArch (Beetle VB),Windows;Linux;macOS;Android;iOS;Web,https://www.retroarch.com/,Libretro.RetroArch,retroarch,org.libretro.RetroArch,beetle_vb,~/.config/retroarch/saves,.srm;.state,Beetle VB is a libretro port of Mednafen VB; supports save states and rewind
Nintendo Wii,Dolphin,Windows;Linux;macOS;Android;iOS,https://dolphin-emu.org/,DolphinEmulator.Dolphin,dolphin,org.DolphinEmu.dolphin-emu,dolphin,~/.local/share/dolphin-emu/Wii;~/.local/share/dolphin-emu/GC,.raw;.gci;.bin;.sav,97% compatibility; also emulates GameCube; near-daily updates; recommended to sync Wii remote for motion controls
Nintendo - Wii (Digital),Dolphin,Windows;Linux;macOS;Android;iOS,https://dolphin-emu.org/,DolphinEmulator.Dolphin,dolphin,org.DolphinEmu.dolphin-emu,dolphin_libretro,~/.dolphin-emu/Wii,.bin;.gci;.raw,Primary emulator for Wii/GameCube; 97% game compatibility; supports Wiimote via Bluetooth; iOS available via DolphinIOS
Nintendo Wii U,Cemu,Windows;Linux;macOS;Android,https://cemu.info/,Cemu.Cemu,,info.cemu.Cemu,,~/.var/app/info.cemu.Cemu/data/Cemu/mlc01/usr/save,.sav,Open source since 2022; Android version is experimental beta; macOS uses MoltenVK for Vulkan
Nintendo - Wii U (Digital),Cemu,Windows;Linux;macOS;Android,https://cemu.info/,Cemu.Cemu,,info.cemu.Cemu,,~/.local/share/Cemu/mlc01/usr/save,.dat;.sav,Open-source Wii U emulator; saves stored in mlc01/usr/save/[title_id] structure
Nokia N-Gage,EKA2L1,Windows;Linux;macOS;Android,https://github.com/EKA2L1/EKA2L1,EKA2L1.EKA2L1,,,,./data/drives/c/private;./data/drives/e,,Symbian OS and N-Gage emulator. Saves stored in emulated drive structure under data/drives/. Development significantly reduced as of March 2023.
Nuon,,,,,,,,,,No recommended emulators found. Nuance Resurrection (Windows;Linux) at https://github.com/andkrau/NuanceResurrection is the only serious NUON emulator capable of running commercial games but is not marked as recommended. MAME also has NUON support but is explicitly not recommended for this system.
OpenBOR,OpenBOR,Windows;Linux;Android,https://www.chronocrash.com/,,,,,Saves/,.sav;.cfg,OpenBOR is a game engine not an emulator. Games run natively using the OpenBOR engine. Each game is a .pak file. macOS support is discontinued. No package manager distributions available - download from ChronoCrash or GitHub.
Oric Atmos,CLK (Clock Signal),macOS;Linux,https://github.com/TomHarte/CLK,,clock-signal,,,,.sna,Recommended for Oric on macOS/Linux. Save states not yet fully implemented. Available via Snap on Linux (clock-signal).
Oric Atmos,Oricutron,Windows;Linux;macOS;Android,https://github.com/pete-gordon/oricutron,,,,,./snapshots,.sna,Portable emulator for Oric-1/Atmos/Telestrat/Pravetz 8D. GPL-2.0 licensed. Includes bundled ROMs.
Oric Atmos,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,,mame,~/.mame/sta,.sta,Multi-system emulator supporting Oric Atmos via orica driver. Use with libretro:mame core in RetroArch.
Othello Multivision,Gearsystem,Windows;Linux;macOS;BSD,https://github.com/drhelius/Gearsystem,,,io.github.drhelius.Gearsystem,gearsystem,Same directory as ROM,.sav;.srm;.state,Very accurate SG-1000/SMS/GG emulator with debugger. Also available via RetroArch.
Othello Multivision,Genesis Plus GX,Windows;Linux;macOS;Android;iOS,https://github.com/ekeeke/Genesis-Plus-GX,Libretro.RetroArch,retroarch,org.libretro.RetroArch,genesis_plus_gx,RetroArch saves directory,.srm;.state,100% SG-1000 compatibility. Only available as RetroArch core on desktop platforms.
Othello Multivision,MEKA,Windows;Linux;macOS,https://www.smspower.org/meka/,,,,,,95-100% Othello Multivision compatibility. Supports special OMV keyboard. Includes debugging tools.,
Othello Multivision,MasterGear,Windows;Linux;Android,https://fms.komkon.org/MG/,,,,,,.Lightweight emulator supporting SG-1000 variants including Othello Multivision.,
Ouya,,,,,,,,,,"No recommended emulators found; OUYA runs Android 4.1 (Jelly Bean) so general Android emulators (BlueStacks, NoxPlayer) can be used with the OUYA Framework APK installed; wiki does not mark any specific emulator as recommended"
PC Engine SuperGrafx,Mednafen,Windows;Linux;macOS;FreeBSD,https://mednafen.github.io/,,mednafen,com.github.AmatCoder.mednaffe,mednafen_supergrafx,~/.mednafen/sav,.sav;.mcr,Multi-system emulator with highly accurate PC Engine/SuperGrafx emulation. Flatpak available via Mednaffe frontend which includes Mednafen.
Philips CD-i,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv,Easiest and most stable method for CD-i emulation; lacks Digital Video Cartridge (DVC) support
Philips CD-i,SAME_CDI,Windows;Linux;macOS;FreeBSD;Android;iOS,https://docs.libretro.com/library/same_cdi/,,,,same_cdi,~/.config/retroarch/saves/same_cdi,.nv;.nvram,Libretro core forked from MAME; simplified CD loading; game-specific NVRAM directories
Philips Videopac+,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,,~/.mame/nvram;~/.mame/sta,.nv;.sta,Recommended; High accuracy; Also emulates Odyssey²
Philips Videopac+,O2EM,Windows;Linux,https://o2em.sourceforge.net/,,,,,~/.o2em,.sta,Recommended but inactive; Has libretro core o2em; Requires o2rom.bin or g7400.bin BIOS
PICO-8,PICO-8,Windows;Linux;macOS,https://www.lexaloffle.com/pico-8.php,,,,,~/.lexaloffle/pico-8/cdata,.p8d.txt,Official implementation (proprietary); purchase required; recommended
PICO-8,Retro8,Windows;Linux;macOS,https://github.com/libretro/retro8,,,org.libretro.RetroArch,retro8,~/.config/retroarch/saves,.srm,Open-source reimplementation; GPLv3; lower compatibility than official
PICO-8,fake-08,3DS;Switch;Vita;WiiU;Android,https://github.com/jtothebell/fake-08,,,,fake08,Platform-dependent (p8carts/cdata),.p8d.txt,MIT license; homebrew platforms only; no desktop builds; best open-source compatibility
Pinball,Visual Pinball,Windows;Linux;macOS;Android;iOS,https://www.vpforums.org/,,,,,~/.vpinball/VPinMAME/nvram,.nv;.vpx;.pov;.directb2s,Freeware pinball table editor and simulator. Uses VPinMAME for ROM emulation. Config at ~/.vpinball/VPinballX.ini (Linux/macOS) or %APPDATA%/VPinballX/ (Windows). Tables use .vpx format. NVRAM stores high scores and settings. Available as Snap package (visual-pinball) on Linux.
RCA Studio II,Emma 02,Windows;Linux;macOS,https://www.emma02.hobby-site.com/,,,,,~/emma_02_data,.st2;.bin,Recommended; specialized RCA CDP1802 multi-system emulator supporting Studio II/III/IV. Cartridge format is .st2. Has built-in games including Doodle Patterns Bowling Freeway Additions.
RCA Studio II,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta,Driver studio2; sound emulation imperfect. Requires studio2 BIOS. All official ROMs have been dumped.
SAM Coupé,SimCoupe,Windows;Linux;macOS,https://simonowen.com/simcoupe/,,,,simcp_libretro,~/.simcoupe,.dsk;.mgt;.sad;.sbt;.sdf,Primary recommended emulator. LibRetro core is experimental with limited features. Output files saved to ~/SimCoupe on Linux.
Sammy Atomiswave,Flycast,Windows;Linux;macOS;Android,https://github.com/flyinghead/flycast,,flycast,org.flycast.Flycast,flycast_libretro,~/.local/share/flycast/data,.bin;.state,Multi-platform Dreamcast/NAOMI/Atomiswave emulator. Standalone save files are vmu_save_A1.bin etc in data directory. RetroArch core saves to system/dc/vmu_save_*.bin
Sammy Atomiswave,DEmul,Windows,http://demul.emulation64.com/,,,,,./nvram;./vms,.bin,Windows-only closed-source emulator. VMU saves as vms00.bin in emulator directory. NVRAM files in nvram subfolder. Requires Atomiswave BIOS.
ScummVM,ScummVM,Windows;Linux;macOS;Android;iOS,https://www.scummvm.org,ScummVM.ScummVM,scummvm,org.scummvm.ScummVM,scummvm,~/.local/share/scummvm/saves,.s00;.s01;.s02,Game engine recreation for classic adventure games; supports 280+ games; not a traditional emulator but runs game data files directly
Sega 32X,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/,save.ram,95% 32X compatibility as of v131; most accurate 32X emulation available
Sega 32X,PicoDrive,Windows;Linux;macOS;Android,http://notaz.gp2x.de/pico.php,,,org.libretro.RetroArch,picodrive,~/.config/retroarch/saves,.srm,Only RetroArch core with 32X and Pico support; prioritizes speed over accuracy
Sega 32X,BizHawk,Windows;Linux,https://tasvideos.org/Bizhawk,,,,,BizHawk/Sega32X/SaveRAM,.SaveRAM;.state,Uses bundled PicoDrive core; designed for TAS and rerecording
Sega - Beena,MAME,Windows;Linux;macOS,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram;~/.mame/sta,.nv;.sta;.cfg,Driver status is imperfect (graphics/timing/sound); MAME 0.284+ required; Run with 'mame beena <rom>'
Sega CD,Genesis Plus GX,Windows;Linux;macOS;FreeBSD;Android;iOS,https://github.com/ekeeke/Genesis-Plus-GX,,,,genesis_plus_gx,~/.config/retroarch/saves,.srm;.brm,100% Sega CD compatibility; available only through RetroArch on most platforms
Sega CD,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares,.sav,86% of Mega CD library playable to completion as of v132; standalone multi-system emulator
Sega CD,PicoDrive,Windows;Linux;macOS;Android,http://notaz.gp2x.de/pico.php,,,,picodrive,~/.config/retroarch/saves,.srm,Supports Sega CD and 32X; primarily available through RetroArch; originally designed for ARM handhelds
Sega CD,BlastEm,Windows;Linux;macOS,https://www.retrodev.com/blastem/,,blastem,com.retrodev.blastem,blastem,~/.config/blastem,.sav;.state;.gst,Sega CD support is experimental in nightly builds only; very high Genesis/Mega Drive accuracy
Sega CD 32X,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Saves,.sav;.bsN,Best option for Sega CD 32X accuracy; v132 brought 86% Mega CD compatibility and 95% 32X compatibility
Sega CD 32X,PicoDrive,Windows;Linux;macOS;Android;iOS,http://notaz.gp2x.de/pico.php,,,org.gnome.Games.LibretroPlugin.PicoDrive,picodrive,~/retroarch/saves,.srm,Only RetroArch core with 32X support; designed for weak devices; standalone releases outdated - libretro port recommended
Sega Dreamcast,Flycast,Windows;Linux;macOS;Android;iOS,https://github.com/flyinghead/flycast,,flycast,org.flycast.Flycast,flycast,~/.var/app/org.flycast.Flycast/data/flycast,.bin,Fork of reicast with 99% compatibility; supports NAOMI/Atomiswave; GPLv2 licensed
Sega Dreamcast,redream,Windows;Linux;macOS;Android,https://redream.io,,redream,,redream,~/Library/Application Support/redream,.bin,Closed-source; no BIOS required; premium version available for HD rendering
Sega Dreamcast VMU,DreamPotato,Windows;Linux;macOS,https://github.com/RikkiGibson/DreamPotato,,,,,,.vmu;.bin;.vms,Modifies .vmu and .bin files in-place; supports Flycast connectivity and VMU-to-VMU serial connections
Sega Dreamcast VMU,VeMUlator,Windows;Linux;macOS;Android;iOS,https://github.com/libretro/vemulator-libretro,Libretro.RetroArch,retroarch,org.libretro.RetroArch,vemulator_libretro,~/.config/retroarch/saves/VeMUlator,.vms;.dci;.bin,RetroArch/libretro core only; sound slightly buggy; restart content causes crash
Sega Game Gear,Genesis Plus GX,Windows;Linux;macOS;FreeBSD,https://github.com/ekeeke/Genesis-Plus-GX,,,org.libretro.RetroArch,genesis_plus_gx,~/.config/retroarch/saves,.srm,Very high accuracy; libretro core only - no standalone version; also supports Master System and Mega Drive
Sega Game Gear,ares,Windows;Linux;macOS,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/saves,.sav;.ram,High accuracy; multi-system emulator descended from higan/bsnes; focuses on preservation
Sega Game Gear,Emulicious,Windows;Linux;macOS,https://emulicious.net/,,,,gearsystem,~/.emulicious,.sav;.state,Very high accuracy; requires Java; excellent debugging tools; also supports Game Boy and Master System
Sega Game Gear,MAME,Windows;Linux;macOS;FreeBSD,https://www.mamedev.org/,,mame,org.mamedev.MAME,mame,~/.mame/nvram,.nv,Universal arcade/console emulator; high compatibility but complex setup for console games
Sega Game Gear,Snepulator,Linux,https://snepulator.net/,,,,,~/.config/snepulator,.sav,Active development; MIT licensed; also supports Master System and SG-1000; Linux only
Sega Genesis,Genesis Plus GX,Windows;Linux;macOS;FreeBSD;Web,https://github.com/ekeeke/Genesis-Plus-GX,Libretro.RetroArch,,,genesis_plus_gx,~/.config/retroarch/saves,.srm;.brm;.state,Highly accurate; available only through RetroArch/libretro on desktop platforms; native versions for Wii/GameCube
Sega Genesis,ares,Windows;Linux;macOS;FreeBSD,https://ares-emu.net/,AresEmulator.Ares,ares-emulator,dev.ares.ares,,~/.local/share/ares/Saves,.sav;.state,Multi-system emulator; no libretro core available; cycle-accurate emulation
Sega Genesis,PicoDrive,Windows;Linux;macOS;Android,https://github.com/notaz/picodrive,Libretro.RetroArch,,,picodrive,~/.config/retroarch/saves,.srm;.state,Supports 32X; designed for ARM devices; available through RetroArch
